random_state,split,acc,mcc
0,0,0.8306451612903226,0.6723378295412248
0,1,0.7983870967741935,0.6096688449557348
0,2,0.8387096774193549,0.6804134257099251
0,3,0.8373983739837398,0.6739710558117956
0,4,0.8130081300813008,0.6245056485478391
1,0,0.8306451612903226,0.6629320729540568
1,1,0.8467741935483871,0.6939117304449341
1,2,0.8306451612903226,0.6652693579679703
1,3,0.7560975609756098,0.5103468314771298
1,4,0.8455284552845529,0.6926158202554976
2,0,0.8387096774193549,0.6783668629769944
2,1,0.7983870967741935,0.6020856649364409
2,2,0.7983870967741935,0.6096688449557348
2,3,0.8130081300813008,0.6395051431221637
2,4,0.8130081300813008,0.6245356682641058
